CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,rcomb1,ESCS,gender,immig2
USA,00002,00032,1,3,3,1,2,1,3,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.9276,401.71,0.064,1,
USA,00002,00052,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,453.72,-0.4144,0,0
USA,00002,00034,1,3,3,2,4,1,3,2,1,3,1,4,2,3,3,2,3,2,4,4,3,2,4,2,-0.2945,1.4986,0.395,626.08,1.0804,0,0
USA,00002,00045,1,2,1,2,4,1,4,1,1,2,1,1,2,4,2,1,3,1,1,2,1,3,1,4,-0.0411,-1.5227,-0.9276,499.5,-1.4134,1,0
USA,00002,00041,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,-0.8077,0.3277,-0.2055,488.99,0.726,0,1
USA,00002,00056,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,508.07,0.4401,0,0
USA,00002,00064,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,2,3,2,2,-0.0411,0.3277,-0.2055,521.22,0.1623,0,0
USA,00002,00038,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,425.58,0.9649,0,0
USA,00002,00047,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,337.23,0.1669,0,0
USA,00002,00048,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,3,3,3,3,2,-0.8077,0.0385,-1.3817,488.43,-0.6703,0,0
USA,00002,00053,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,4,3,1,3,2,4,2,2,0.4861,-1.0185,-0.5436,517.93,-0.4485,0,0
USA,00002,00028,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,525.07,1.2389,0,0
USA,00002,00058,1,1,1,1,1,2,3,2,1,1,1,4,1,3,1,1,4,3,1,3,3,4,1,1,-0.2945,-1.0185,0.395,459.57,-0.7478,0,0
USA,00002,00061,1,1,1,2,1,1,1,1,1,1,1,4,4,3,2,1,3,2,2,3,1,3,2,2,0.2159,-0.6208,0.1036,584.15,-0.3902,0,0
USA,00002,00065,1,1,1,1,1,2,3,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,-1.6827,-2.4098,-1.3817,533.8,-1.0216,0,1
USA,00002,00060,1,1,1,2,1,1,1,1,1,1,1,3,4,4,1,2,4,4,1,3,1,4,1,4,1.6056,-2.4098,0.9843,498.93,0.3565,0,0
USA,00002,00054,2,2,2,1,3,1,2,2,1,3,1,4,3,4,2,1,3,4,1,3,2,4,2,4,0.7826,-0.6208,0.9843,604.91,0.7869,0,1
USA,00002,00051,1,2,1,2,1,2,1,2,1,1,1,2,2,3,2,2,2,4,1,1,1,1,1,1,-2.0532,-1.5227,0.395,359.76,-0.0984,0,0
USA,00002,00044,2,3,3,2,3,1,2,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,442.49,0.3053,0,0
USA,00002,00062,1,1,1,1,2,1,1,1,1,1,1,3,2,4,3,2,3,2,2,2,2,3,3,2,-0.5485,0.3277,0.395,513.84,-0.4454,0,1
USA,00002,00050,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,3,1,2,-0.8077,-1.5227,-1.3817,547.35,1.5035,0,0
USA,00002,00035,1,1,2,2,1,1,3,2,2,3,2,2,3,2,3,1,3,2,2,2,3,3,3,2,-0.2945,0.6034,-0.9276,465.9,0.4109,0,0
USA,00002,00042,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,,2,2,2,2,2,2,-1.6827,-0.2743,-1.0106,393.35,-0.1935,0,0
USA,00002,00037,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,-1.3664,-0.2743,-0.9276,385.49,1.5264,0,0
USA,00002,00049,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,354.63,-0.9442,0,0
USA,00002,00046,2,3,3,2,3,1,3,2,2,2,2,2,3,3,4,2,3,2,2,3,4,3,4,3,0.2159,1.4986,-0.2055,551.2,0.053,0,0
USA,00002,00030,2,3,1,1,4,2,1,2,1,1,1,,,,,,,,,,,,,,,,,459.17,0.2164,0,1
USA,00002,00033,2,2,2,2,1,2,2,2,1,4,2,1,2,2,1,1,3,1,1,2,1,2,1,2,-0.8077,-2.4098,-1.9702,574.21,-0.6851,0,0
USA,00002,00043,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,399.28,-0.8599,0,0
USA,00002,00027,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,451.55,-0.7231,0,0
USA,00003,00096,2,2,2,1,2,1,1,1,1,4,2,2,2,2,2,3,2,2,2,2,3,3,1,2,-0.8077,-0.2743,-0.2055,326,0.3581,1,0
USA,00003,00080,1,1,1,2,2,1,1,2,1,1,1,2,2,3,2,2,2,2,2,1,1,4,4,2,-0.8077,0.0385,-0.2055,385.5,-0.2632,1,0
USA,00003,00095,2,1,2,2,1,2,2,2,2,3,2,3,2,3,2,1,2,4,1,2,2,2,2,1,-1.3664,-0.6208,0.395,527.54,0.6338,1,0
USA,00003,00067,2,1,3,2,2,2,3,2,2,3,3,2,2,1,1,1,2,2,2,2,1,1,1,2,-1.3664,-1.5227,-1.3817,380.34,-0.9079,1,0
USA,00003,00098,2,1,3,1,2,2,2,2,2,3,2,2,4,4,2,1,4,1,3,3,1,4,3,3,1.1341,0.0385,-0.5436,516.1,-0.3423,1,0
USA,00003,00102,2,3,2,2,2,1,3,2,2,2,1,4,4,4,4,1,2,4,2,4,3,4,3,4,1.1341,0.8778,0.9843,411.24,-1.0171,1,1
USA,00003,00072,2,1,2,1,2,2,2,2,1,2,2,4,4,4,4,3,3,3,3,3,3,3,3,2,0.2159,1.1676,1.3297,412.75,0.7649,1,0
USA,00003,00101,2,2,1,2,1,1,1,2,2,1,1,2,1,3,1,2,2,1,1,3,1,2,1,1,-1.3664,-2.4098,-0.5436,487.74,-0.2991,1,0
USA,00003,00079,2,1,1,2,2,2,3,1,2,1,2,3,3,3,3,1,1,3,2,3,1,3,4,4,-0.0411,0.3277,0.1036,605.31,1.5792,0,0
USA,00003,00071,2,1,2,2,4,2,3,1,1,1,1,4,2,3,1,3,4,3,2,3,1,3,2,1,-0.2945,-1.0185,0.9843,464.94,0.3145,1,0
USA,00003,00087,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,2,2,3,4,2,3,0.2159,0.0385,-0.2055,611.03,1.1403,1,0
USA,00003,00099,2,3,3,1,3,2,4,2,2,3,4,3,3,3,4,4,3,3,2,4,3,3,2,3,0.4861,0.6034,0.9843,493.22,0.8492,1,0
USA,00003,00094,2,2,2,2,2,2,3,2,1,4,1,3,4,3,3,2,3,2,3,4,3,4,2,4,1.6056,0.6034,0.1036,568.61,1.5264,1,0
USA,00003,00085,1,4,4,2,3,1,4,2,1,4,4,2,3,2,4,1,3,3,4,4,4,4,3,3,0.7826,1.9347,-0.5436,497.51,0.8428,1,0
USA,00003,00093,2,1,2,1,2,1,3,2,2,2,2,4,4,4,3,1,3,2,2,4,4,4,3,2,0.7826,0.8778,0.395,545.73,0.6658,1,0
USA,00003,00074,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,-0.8077,-0.2743,0.395,597.53,1.2885,1,0
USA,00003,00068,2,2,2,2,1,2,3,2,2,2,2,2,4,3,2,1,3,2,1,3,1,2,2,3,0.2159,-1.0185,-0.5436,480.51,-0.3796,1,1
USA,00003,00090,1,4,3,1,2,1,1,1,1,2,1,2,4,1,4,1,1,1,1,4,4,3,1,4,0.4861,0.3277,-1.9702,669.13,1.3149,0,0
USA,00003,00086,2,1,1,2,2,1,1,2,2,1,1,2,3,4,2,1,2,2,1,2,3,3,1,1,-0.8077,-0.6208,-0.2055,361.28,-0.7472,0,0
USA,00003,00077,2,3,3,1,3,1,3,1,1,3,3,1,2,2,3,3,3,3,3,3,4,4,4,4,0.4861,1.4986,-0.2055,580.37,1.9521,1,0
USA,00003,00075,2,2,1,2,1,2,2,2,2,3,2,3,3,3,2,3,2,2,2,3,3,2,2,2,-0.5485,0.0385,0.395,363.77,-0.8085,0,0
USA,00003,00073,1,3,3,1,4,1,4,1,1,4,3,4,3,3,4,4,3,3,1,2,3,4,2,2,-0.0411,0.3277,1.3297,430.47,-0.4736,0,0
USA,00003,00082,1,2,2,2,1,2,2,2,1,1,1,2,3,3,2,1,2,1,1,2,1,3,2,2,-0.5485,-1.0185,-0.9276,509.03,-1.9724,0,
USA,00003,00078,1,3,2,1,1,1,4,1,1,2,2,1,4,3,4,2,4,3,3,3,3,4,3,4,1.6056,1.1676,-0.2055,507.67,1.6644,0,0
USA,00003,00081,1,3,4,2,3,1,4,2,2,4,3,4,4,4,4,2,4,1,1,3,2,4,2,3,1.1341,0.0385,0.395,516.41,1.2915,0,0
USA,00003,00092,2,3,3,2,3,2,4,2,2,2,1,2,3,2,1,4,2,4,2,2,3,2,3,1,-1.0786,0.0385,0.6832,482.5,0.0942,0,0
USA,00003,00097,1,1,2,1,1,2,1,1,2,2,3,4,4,4,4,2,2,4,2,3,1,3,3,4,0.4861,0.3277,1.3297,406.74,0.1663,0,0
USA,00003,00066,2,2,3,2,3,2,2,2,2,3,2,4,3,3,3,2,3,2,2,4,3,4,2,4,1.1341,0.3277,0.395,622.31,1.6083,0,0
USA,00003,00076,1,4,3,2,3,1,4,1,1,3,3,2,3,2,2,2,3,2,1,3,1,3,1,2,-0.0411,-1.5227,-0.5436,464.14,1.7376,0,0
USA,00003,00089,2,2,2,2,2,2,3,2,2,2,2,2,3,4,2,3,3,4,4,3,2,3,3,2,-0.0411,0.6034,0.9843,441.53,0.7417,0,1
USA,00003,00084,2,2,3,2,2,2,2,2,2,3,2,3,3,2,4,3,4,3,4,3,4,4,4,3,0.7826,2.7571,0.395,544.87,1.7376,0,0
USA,00003,00083,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,415.56,-1.0216,0,0
USA,00003,00091,1,3,2,2,,,3,1,2,2,2,2,2,2,2,3,3,1,2,2,3,1,2,2,-1.0786,0.0385,-0.5436,317.11,-0.5711,0,0
USA,00003,00069,2,3,2,1,4,1,4,2,2,2,2,2,3,2,2,1,3,3,2,3,1,2,2,3,-0.0411,-0.6208,-0.5436,628.48,2.028,0,0
USA,00003,00088,1,1,1,1,1,1,1,1,2,1,1,3,2,4,3,2,2,3,2,2,2,4,2,1,-0.8077,0.0385,0.6832,438.73,0.7591,0,0
USA,00003,00070,2,2,3,1,1,1,3,2,1,3,3,4,4,4,3,3,4,3,2,3,2,4,2,4,1.6056,0.0385,1.3297,467.1,0.058,0,0
USA,00003,00100,1,2,1,1,3,1,1,1,1,1,1,4,3,3,3,3,3,2,2,2,2,2,3,3,-0.2945,0.3277,0.6832,488.75,-0.8923,0,0
USA,00004,00116,2,3,3,2,3,2,4,1,2,3,3,3,3,2,3,1,2,3,4,4,2,3,3,2,-0.0411,0.8778,-0.2055,567.74,0.4732,1,0
USA,00004,00109,,,,,,,,,,,,4,4,4,2,4,4,4,2,3,4,4,1,4,1.6056,0.0385,2.6934,354.6,0.1108,1,0
USA,00004,00120,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.28,,1,
USA,00004,00117,2,2,2,2,2,2,3,2,2,2,3,3,4,4,3,4,3,4,2,2,2,4,2,3,0.4861,0.0385,1.7893,594.83,1.3971,1,0
USA,00004,00114,1,4,3,2,4,1,3,1,1,3,4,2,3,2,2,2,2,3,1,1,1,2,2,3,-0.8077,-1.0185,-0.2055,565.75,1.5264,1,0
USA,00004,00104,1,4,3,2,3,1,4,1,1,3,4,4,3,3,2,2,3,2,1,2,2,3,2,2,-0.2945,-0.6208,0.395,700.64,0.3691,1,0
USA,00004,00119,2,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,1,3,1,1,-0.2945,-1.0185,0.6832,484.41,1.6617,1,0
USA,00004,00105,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,1,3,2,3,2,3,2,3,-0.2945,0.0385,0.395,536.92,-0.784,1,0
USA,00004,00110,2,2,2,2,2,2,2,2,1,2,2,1,3,3,1,1,2,2,1,1,1,1,1,1,-1.6827,-2.4098,-0.9276,446.75,-0.7214,1,0
USA,00004,00121,1,3,3,2,4,1,4,2,1,3,4,1,3,2,2,1,4,3,2,2,1,3,3,4,0.4861,-0.2743,-0.9276,716.37,1.2935,1,0
USA,00004,00113,1,2,1,1,2,1,4,1,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1.6056,2.7571,2.6934,512.48,-0.6963,0,0
USA,00004,00107,1,1,1,2,1,2,1,2,1,1,1,3,3,3,2,3,2,3,3,3,2,3,2,3,-0.0411,0.0385,0.6832,522.02,-0.7867,0,0
USA,00004,00111,2,3,2,2,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,568.28,-0.1575,0,0
USA,00004,00108,2,3,4,1,3,1,4,2,1,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,2.504,0.8778,2.6934,619.42,2.166,0,0
USA,00004,00103,2,2,2,2,3,2,2,1,2,2,2,3,3,2,3,4,3,4,2,3,4,4,4,2,0.2159,1.1676,0.9843,412.67,0.5319,0,0
USA,00004,00106,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,3,-0.0411,0.3277,0.1036,573.17,1.0512,0,0
USA,00004,00115,2,1,1,1,1,2,2,2,2,2,1,2,3,3,2,1,4,2,2,3,2,4,3,2,0.4861,0.0385,-0.5436,556.33,-0.3588,0,0
USA,00004,00118,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,-1.6827,-0.6208,-1.3817,473.28,0.4972,0,1
USA,00004,00122,1,3,3,2,3,2,3,2,2,3,2,2,2,3,3,1,1,1,3,3,3,2,2,2,-1.0786,0.6034,-0.9276,616.3,0.044,0,0
USA,00004,00112,2,1,1,2,1,2,4,2,2,2,2,3,4,3,2,2,1,2,1,3,2,4,3,1,-0.2945,-0.2743,0.1036,557.61,0.4822,0,0
USA,00005,00144,2,2,2,2,2,1,3,2,2,3,3,1,4,2,2,1,2,1,1,3,1,4,1,2,0.2159,-1.5227,-1.9702,539.62,-0.3643,1,0
USA,00005,00150,2,3,3,2,3,1,4,2,2,4,4,3,4,4,2,2,4,3,2,4,3,4,3,4,2.504,0.3277,0.6832,586.25,1.1403,1,0
USA,00005,00138,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,2,3,3,4,4,3,4,3,0.2159,1.9347,0.9843,557.41,1.0512,1,0
USA,00005,00142,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,303.2,-0.4871,1,0
USA,00005,00134,2,2,2,2,2,2,1,2,2,3,2,4,3,4,2,2,4,3,1,2,1,3,1,2,-0.0411,-1.5227,0.9843,723.2,0.9548,1,0
USA,00005,00153,1,4,4,1,4,1,4,1,1,4,4,3,3,3,3,2,3,2,2,2,2,4,2,2,-0.0411,0.0385,0.1036,595.62,-0.1075,1,0
USA,00005,00154,2,2,2,2,2,2,3,2,2,3,3,4,4,3,2,2,2,3,2,3,2,4,3,3,0.4861,0.0385,0.6832,492.51,-0.2149,1,0
USA,00005,00127,2,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,2,1,2,3,2,2,-0.5485,-0.2743,0.1036,606.9,1.054,1,0
USA,00005,00136,1,3,3,2,3,1,3,2,1,3,3,3,4,2,1,1,3,2,1,4,2,4,1,3,1.1341,-1.5227,-0.5436,633.28,0.1072,1,0
USA,00005,00131,2,2,3,2,3,1,4,1,2,3,4,2,4,3,3,1,3,1,2,3,2,2,3,2,-0.0411,0.3277,-0.9276,592.37,0.5331,1,0
USA,00005,00157,1,3,3,2,3,1,3,2,1,2,3,1,4,2,3,1,4,1,3,3,3,4,2,3,1.1341,0.6034,-1.9702,664.66,1.0076,1,0
USA,00005,00143,1,3,3,2,3,1,4,2,2,3,3,2,2,2,2,2,1,4,1,2,1,2,1,2,-1.3664,-1.5227,0.1036,515.07,0.0336,1,0
USA,00005,00137,2,1,3,2,2,2,3,2,2,2,2,2,4,3,2,2,3,3,1,4,3,4,3,3,1.1341,0.0385,0.1036,602.61,0.1811,1,0
USA,00005,00146,2,2,2,2,1,2,2,2,2,2,3,2,,1,2,1,2,2,1,2,1,3,1,3,-0.3772,-1.5227,-1.3817,543.35,0.6852,1,0
USA,00005,00148,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,1,2,1,2,2,3,2,2,-1.0786,-1.0185,-0.5436,439.28,-0.0984,1,0
USA,00005,00124,1,3,3,2,3,1,3,2,2,3,3,2,3,2,3,1,3,2,2,3,3,3,3,4,0.4861,0.6034,-0.9276,549.07,1.4499,1,0
USA,00005,00133,2,3,3,1,3,1,3,2,2,3,1,1,2,4,3,2,3,3,3,3,2,2,3,2,-0.5485,0.6034,0.1036,462.88,0.1864,1,0
USA,00005,00126,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,2,4,4,3,3,3,4,3,4,1.6056,0.8778,1.3297,422.21,0.8861,0,0
USA,00005,00151,2,1,2,2,3,2,3,2,1,2,1,2,2,3,3,3,3,3,1,3,2,3,3,3,-0.0411,0.0385,0.395,473.28,0.0336,0,0
USA,00005,00147,2,3,2,1,3,2,3,1,1,1,1,3,2,2,3,1,4,2,1,2,1,3,1,4,0.2159,-1.0185,-0.5436,638.74,0.0414,0,0
USA,00005,00130,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,1,4,3,2,4,2,4,2,4,2.504,0.0385,0.6832,566.75,0.8209,0,0
USA,00005,00125,2,2,3,2,3,2,3,2,1,3,2,2,3,4,2,1,2,3,2,2,3,4,2,3,-0.0411,0.0385,0.1036,504.86,0.342,0,0
USA,00005,00128,2,2,2,2,3,2,2,2,2,1,2,2,3,4,3,2,2,2,2,2,2,3,3,3,-0.2945,0.3277,0.1036,582.22,1.1931,0,0
USA,00005,00140,2,2,1,1,2,2,1,2,1,3,1,4,4,4,2,2,3,4,1,3,1,4,1,3,0.7826,-1.5227,1.3297,595.53,1.3413,0,0
USA,00005,00149,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.75,0.1205,0,
USA,00005,00123,2,2,2,2,3,2,2,2,1,2,2,2,3,3,3,4,4,4,2,4,2,4,3,4,1.6056,0.3277,0.9843,581.42,0.4758,0,0
USA,00005,00152,2,1,1,1,1,1,1,2,2,2,2,1,3,3,3,1,3,1,2,3,2,4,2,4,0.7826,0.0385,-1.3817,601.3,-0.5006,0,0
USA,00005,00155,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,2,2,-1.0786,-0.2743,-0.9276,456.76,0.5507,0,0
USA,00005,00129,2,1,1,2,1,2,1,2,1,1,2,3,4,4,3,2,3,3,2,2,1,4,1,4,0.7826,-0.6208,0.6832,453.96,0.7373,0,0
USA,00005,00156,2,2,3,2,3,1,3,2,1,4,3,2,4,3,4,1,4,1,2,2,4,3,4,2,0.2159,1.4986,-0.9276,545.75,0.606,0,0
USA,00005,00132,1,2,4,1,2,1,2,1,1,4,3,4,2,4,2,2,3,3,1,3,1,4,1,2,-0.0411,-1.5227,0.9843,669.61,1.8987,0,0
USA,00005,00141,1,3,3,1,3,1,3,1,1,3,3,3,3,3,3,2,4,4,2,3,3,3,2,2,0.2159,0.3277,0.6832,681.47,0.4219,0,0
USA,00005,00145,1,1,1,1,1,1,1,1,2,1,1,3,3,3,2,1,2,1,1,2,1,3,1,2,-0.5485,-1.5227,-0.5436,584.23,0.4018,0,0
USA,00005,00135,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,,,,,,,,-1.1416,-0.5318,-1.0106,377.8,1.6908,0,0
USA,00005,00139,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,-0.8077,-0.2743,-0.9276,558.66,1.9521,0,0
USA,00006,00166,2,2,2,2,3,2,3,2,2,3,2,4,4,4,3,3,4,2,3,2,2,3,4,4,0.7826,0.8778,0.9843,368.03,0.0099,1,0
